Gene	t_7	t_8	t_9	t_10	t_11	t_12	n_1	n_2	n_3	n_4	n_5	n_6
A1BG	45	70	178	79	20	29	65	42	101	52	135	55
A2M	26870	4157	4229	4003	256	4970	61702	39860	77681	40730	43454	36392
A2M-AS1	13	5	6	17	0	22	35	17	27	31	38	28
A4GALT	306	78	263	462	6	62	410	903	1121	429	564	440
AAAS	408	671	489	582	165	186	570	432	790	471	713	737
AACS	717	229	327	237	23	495	352	319	455	222	344	469
AADAC	128	12	45	6	2	24	305	267	204	70	67	267
AADAT	124	11	80	95	15	171	114	108	169	84	125	257
AAGAB	445	519	879	565	22	608	564	652	1109	400	795	805
AAK1	518	328	217	567	78	157	575	521	1035	563	881	686
AAMDC	161	36	185	135	8	165	199	128	302	187	198	199
AAMP	1214	1520	1329	1633	37	471	1519	1194	2057	896	1727	1516
AAR2	549	340	939	306	28	246	750	747	1252	581	988	830
AARD	47	4	39	19	78	22	94	31	66	61	57	96
AARS1	1572	1748	693	1022	96	687	1350	1299	2352	1171	1380	1898
AARS2	271	400	337	430	64	46	286	227	398	241	361	390
AASDH	122	111	103	83	23	178	199	165	247	224	187	344
AASDHPPT	481	281	1045	390	82	1059	445	470	798	427	465	734
AASS	532	274	174	139	34	171	1202	1655	2097	937	2020	1440
AATBC	24	19	32	115	13	18	22	32	37	42	58	102
AATK	320	27	22	46	6	6	1121	538	1135	971	434	834
ABAT	228	143	54	73	26	289	238	162	187	102	259	433
ABCA1	1608	584	159	799	78	446	1566	959	1160	858	1058	1452
ABCA10	69	51	6	19	8	40	321	82	110	84	242	273
ABCA11P	95	65	99	45	31	114	81	94	137	60	121	128
ABCA12	43	0	55	179	0	435	0	2	7	0	18	15
ABCA13	88	5	228	216	12	144	94	55	209	28	112	2351
ABCA2	568	629	161	886	67	51	631	517	1036	652	1130	1011
ABCA3	5957	18	109	127	338	724	6292	12900	16390	3105	7013	11333
ABCA4	22	8	45	40	23	65	22	31	40	10	59	53
ABCA5	335	1992	184	377	369	436	586	453	634	352	809	1282
ABCA6	232	62	51	80	9	133	565	339	441	144	490	578
ABCA7	685	305	142	2184	263	136	384	389	929	389	909	758
ABCA8	696	4	38	54	0	96	1530	767	1130	356	1546	1286
ABCA9	140	114	23	64	4	50	400	253	210	68	437	392
ABCB1	277	90	16	41	0	60	1930	204	144	1186	95	108
ABCB10	382	304	357	438	85	597	391	360	613	384	392	581
ABCB6	350	1453	219	478	104	179	152	120	274	139	185	297
ABCB7	253	271	461	326	43	407	302	321	504	283	390	413
ABCB8	383	576	258	563	44	92	360	397	675	281	556	648
ABCB9	96	54	125	78	25	26	60	37	76	46	54	60
ABCC1	34	2	24	69	15	22	51	53	68	63	56	55
ABCC1_1	40	161	48	70	23	48	76	47	86	31	89	76
ABCC10	417	428	367	548	77	64	297	223	472	322	327	651
ABCC2	20	11877	9	12	10	22	24	4	14	28	10	31
ABCC3	583	4624	677	2872	788	343	385	312	801	350	1140	706
ABCC4	699	264	1658	202	113	846	708	820	1014	916	688	842
ABCC5	651	556	629	584	338	184	830	450	949	984	1055	1925
ABCC6P1	16	33	5	10	16	53	12	17	19	24	26	31
ABCC8	26	6	34	2	26	19	50	38	243	26	112	39
ABCC9	313	129	50	95	34	93	516	622	939	636	783	437
ABCD1	387	288	115	1425	16	43	238	143	328	143	222	179
ABCD2	26	64	12	50	0	24	24	8	42	12	25	118
ABCD3	802	427	1070	628	222	2396	1190	1155	1715	700	1231	1663
ABCD4	412	501	730	603	126	309	645	535	989	820	867	779
ABCE1	789	892	1815	1055	81	2200	827	1368	2004	559	1275	922
ABCF2	169	196	237	244	26	153	193	252	383	136	288	193
ABCF3	533	670	562	830	60	102	824	801	1184	572	966	1020
ABCG1	1763	540	194	735	24	1638	1409	1295	2484	1166	2408	2581
ABCG2	96	60	20	24	8	50	249	190	389	896	132	284
ABHD10	289	357	654	433	41	434	319	262	403	342	407	502
ABHD11	634	2268	680	617	338	395	389	222	535	196	609	780
ABHD11-AS1	12	115	4	26	6	10	12	10	56	10	23	45
ABHD12	1284	1712	2264	1890	109	675	835	741	1454	519	1115	932
ABHD13	432	266	519	256	26	572	588	500	933	399	614	566
ABHD14A	99	126	108	65	22	61	122	71	147	61	192	121
ABHD14B	393	936	499	370	95	195	1066	701	1317	714	1228	1153
ABHD15	238	164	150	284	6	129	296	190	370	139	335	373
ABHD16B	71	92	69	142	2	10	75	63	131	35	95	100
ABHD17A	546	527	266	522	26	116	1102	785	1435	1028	1372	920
ABHD17B	231	231	365	242	10	336	313	377	623	239	339	479
ABHD17C	575	980	1039	396	28	551	641	605	868	795	479	644
ABHD18	217	438	184	183	46	338	231	190	335	290	458	413
