	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_1	n_2	n_3	n_4	n_5	n_6	t_7	t_8	t_9	t_10	t_11	t_12	n_1.1	n_2.1	n_3.1	n_4.1	n_5.1	n_6.1	t_7.1	t_8.1	t_9.1	t_10.1	t_11.1	t_12.1	Certeza	DE
KIF20A	155.418895213172	-4.47189282093169	0.36714837012100704	-12.1800699250219	3.96941398128791e-34	5.456753400076489e-30	33	14	20	12	18	20	263	358	409	352	15	260	25.5850248577212	11.9355749227793	9.820402851533961	11.358320719854099	11.2467502295619	11.875019937486401	238.040732584731	370.91610077675796	398.95709531121497	319.549581678129	129.005886920629	326.736251767669	100.0	UP_t_DOWN_n
NUF2	248.88040236879903	-5.1951599817590495	0.43661555172211497	-11.8987057636131	1.2019676967597801e-32	8.26172496367832e-29	26	14	12	17	18	25	170	465	568	481	41	738	20.15789837275	11.9355749227793	5.89224171092037	16.0909543531267	11.2467502295619	14.843774921858001	153.866633229674	481.7764996122701	554.0528854199749	436.65724087267097	352.61609091638496	927.428283863615	100.0	UP_t_DOWN_n
TOP2A	1161.01670054181	-5.27112487454155	0.454169413328926	-11.606076322722302	3.8382751387915604e-31	1.75882561109892e-27	98	95	94	42	84	96	1285	1532	5106	2772	59	2248	75.9797707895962	80.99140126171659	46.15589340220961	39.7541225194894	52.484834404622	57.000095699934704	1163.05072764783	1587.2722524860199	4980.62329745492	2516.4529557152696	507.423155221139	2825.0118998989196	100.0	UP_t_DOWN_n
CEP55	235.637113779361	-4.52471954111328	0.3913700037292279	-11.5612323325723	6.47724989212733e-31	2.22606885667686e-27	36	28	45	12	32	22	545	267	914	363	28	380	27.9109362084231	23.8711498455586	22.0959064159514	11.358320719854099	19.9942226303322	13.062521931235	493.278324177485	276.632957841884	891.5569318201719	329.53550610557096	240.810988918507	477.537598737363	100.0	UP_t_DOWN_n
PYCR1	502.716910290361	-3.77603558387213	0.33742041356433006	-11.1908925248004	4.51862094394623e-29	1.24234964232858e-25	104	88	136	46	96	144	1008	1477	1395	650	58	580	80.631593491	75.023613800327	66.7787393904309	43.5402294261075	59.9826678909966	85.50014354990209	912.338625267715	1530.2879353275698	1360.74608302969	590.077352530637	498.82276275976403	728.8731770201849	100.0	UP_t_DOWN_n
CEACAM5	6259.230292755439	-6.075040331577211	0.5473703659934729	-11.098591938843901	1.27435699184181e-28	2.91976426114155e-25	256	145	225	173	128	710	17616	15580	4506	30041	268	6330	198.47776859323102	123.61845455735701	110.479532079757	163.74912371123	79.9768905213288	421.56320778076696	15944.2035939644	16142.1029332455	4395.356164969029	27271.559611342902	2304.90517964857	7954.771052651329	100.0	UP_t_DOWN_n
KIF4A	139.24565680741802	-4.824077431368099	0.447244706716654	-10.7862147028703	3.999244404817029e-27	7.8539446904314e-24	10	21	12	10	12	16	246	140	558	408	19	133	7.753037835673079	17.9033623841689	5.89224171092037	9.4652672665451	7.49783348637458	9.500015949989118	222.654069261764	145.050989130576	544.298433211877	370.38701512692296	163.40745676613	167.13815955807698	100.0	UP_t_DOWN_n
CDCA8	137.571794373766	-3.6612730254450203	0.343703909173399	-10.652404374015699	1.6991864127929798e-26	2.59541284629613e-23	24	24	40	26	26	38	145	228	414	389	21	178	18.6072908056154	20.460985581907398	19.640805703067898	24.609694893017302	16.245305887144898	22.5625378812242	131.239187166487	236.225896584081	403.83432141526396	353.138600206796	180.60824168888	223.688664671712	100.0	UP_t_DOWN_n
UBE2C	341.40938995190896	-5.46389679636408	0.512417381816172	-10.6629809804622	1.5165707397226002e-26	2.59541284629613e-23	31	26	18	6	22	28	337	626	1832	293	44	494	24.0344172905865	22.166067713733	8.83836256638056	5.679160359927059	13.7460280583534	16.625027912481002	305.017972931766	648.585137112432	1787.01564452358	265.988714294579	378.417268300511	620.798878358571	100.0	UP_t_DOWN_n
RRM2	566.1169721756739	-4.97108038163584	0.468247282166677	-10.616357149226001	2.5013277811842298e-26	3.43857530079396e-23	53	63	74	20	49	50	482	594	2625	1188	46	1191	41.0911005290673	53.7100871525068	36.3354905506756	18.9305345330902	30.6161534026962	29.687549843716003	436.257160098253	615.430625311157	2560.54370462577	1078.47983816369	395.61805322326103	1496.70336867421	100.0	UP_t_DOWN_n
